"","UMAP1","UMAP2","gene","module","color","hub","kME"
"CCDC85B",-0.331058446462554,3.13881742868944,"CCDC85B","Module10","#2b9b81","other",0.117479255303089
"TMEM70",4.64515514284809,-2.68863689984754,"TMEM70","Module2","#fe9b00","other",0.197358024526154
"RPS6KB2",5.46487588793476,-0.964058295745408,"RPS6KB2","Module2","#fe9b00","other",0.164347531559093
"LINC00116",3.74084396273335,5.8035341492705,"LINC00116","Module4","#9b3441","other",0.189660517691653
"AURKAIP1",5.0632345190688,0.165016888719046,"AURKAIP1","Module2","#fe9b00","other",0.460861763568962
"TOMM5",5.25475044161518,6.50786411676928,"TOMM5","Module4","#9b3441","other",0.3020711410261
"CTDNEP1",-11.7797158250169,-4.97746074284986,"CTDNEP1","Module6","#e87b89","other",0.262844867080346
"ZNF683",-1.2172215470628,0.955024241548026,"ZNF683","Module7","#9f5691","other",0.679256967942971
"SSNA1",4.85285587221821,0.272841810327017,"SSNA1","Module2","#fe9b00","other",0.417304218866314
"TMEM39A",5.11658353716572,-5.30668246831373,"TMEM39A","Module5","#de597c","other",0.254584924656914
"SMIM19",-0.517042298014564,0.882515548806632,"SMIM19","Module7","#9f5691","other",0.299822058752152
"COX8A",1.62712736040791,2.89388406191393,"COX8A","Module10","#2b9b81","other",0.0893350325733209
"SGF29",1.7223468533202,-7.5739916571565,"SGF29","Module8","#633372","other",0.190759175840198
"PLA2G16",-1.49007361024181,5.36175358210131,"PLA2G16","Module10","#2b9b81","other",0.079948371794735
"FAM89B",-11.8117640504197,-4.03023970212415,"FAM89B","Module6","#e87b89","other",0.0389493576907402
"DPP7",3.27984900385578,1.99362981234118,"DPP7","Module9","#1f6e9c","other",0.423227264266408
"RHOG",6.14812488466938,-1.592628479857,"RHOG","Module2","#fe9b00","other",0.452480668973235
"TALDO1",4.08099956423481,0.330730795007193,"TALDO1","Module2","#fe9b00","other",0.34773449801488
"CHD9",-1.06670950740139,-1.03548470597342,"CHD9","Module7","#9f5691","other",0.261140120048266
"KCNA3",-1.5186371096925,5.15827095423266,"KCNA3","Module10","#2b9b81","other",0.135064446137229
"ZBTB38",-0.523045946057242,-3.05600369061903,"ZBTB38","Module11","#92c051","other",0.349744911167785
"DLGAP1.AS1",0.653768848483163,5.49423944864794,"DLGAP1.AS1","Module10","#2b9b81","other",0.0344490100835581
"ZFAS1",4.26404065996845,4.76013576899096,"ZFAS1","Module4","#9b3441","other",0.320286001731108
"TGIF1",5.20826358706196,-4.64088499631361,"TGIF1","Module5","#de597c","other",0.512485560031453
"JUN",-1.77150719254772,4.26121866617724,"JUN","Module10","#2b9b81","other",0.61160088598821
"PNPLA2",6.33690376192768,-3.43232548322157,"PNPLA2","Module5","#de597c","other",0.278972323027152
